date,site1,site3,site4,site5a,site6b,site6c,site7,site8,site9,site10,site11,site12
09/02/2016,DRY,0.0146,0.0248,0.0086,0.1017,0.0179,0.0522,0.0258,0.0854,0.1612,0.1455,0.2637
04/04/2016,0.0158,0.0752,0.091,0.0042,0.1824,0.0937,0.0385,0.0512,0.1615,0.1823,0.1796,0.3615
27/06/2016,0.008,0.0846,0.0701,0.0034,0.0675,0.0451,0.0365,0.0344,0.1216,0.0835,0.1223,0.2842
03/08/2016,0.0003,0.0333,0.0379,0.0015,0.1224,0.0592,0.1375,0.0538,0.0908,0.1878,0.1705,0.3148
05/10/2016,Dry,0.0042,0.0112,0.0024,0.0602,0.0059,0.069,0.0335,0.064,0.1033,0.0852,0.1675
09/12/2016,Dry,Dry,0.0028,0.0025,0.0465,0.0004,0.035,0.0296,0.0813,0.094,0.0938,0.1674
09/02/2017,Dry,Dry,0.0019,0.0019,0.0488,NMF,0.0592,0.0732,0.0611,0.1004,0.1006,0.1474
28/04/2017,Dry,Dry,0.002,0.0004,0.0502,NMF,0.0566,0.0185,0.0594,0.109,0.1006,0.1574
08/06/2017,Dry,Dry,0.003,0.0021,0.0535,NMF,0.0689,0.026,0.052,0.1271,0.1156,0.1684
16/08/2017,Dry,Dry,Dry,NMF,0.0323,NMF,0.035,0.0129,0.0365,0.0976,0.0953,0.1532
16/10/2017,Dry,Dry,NMF,0.00003,0.028,NMF,0.0167,0.0186,0.0347,0.0966,0.0689,0.1392
04/12/2017,Dry,Dry,Dry,NMF,0.0203,NMF,0.0198,0.0126,0.0298,0.0926,0.0654,0.1257
09/04/2018,0.005,0.0255,0.0378,0.0036,0.1259,0.0258,0.0831,0.0308,0.097,0.2181,0.1471,0.2897
21/06/2018,0.0042,0.0593,0.0379,0.011,0.1299,0.0404,0.0845,0.0421,0.0974,0.2398,0.148,0.4055
29/08/2018,Dry,0.022,0.0446,0.0048,0.084,0.0126,0.1112,0.026,0.0715,0.1354,0.1753,0.2847
31/10/2018,Dry,NMF,0.0044,NMF,0.0533,NMF,0.0371,0.0184,0.0515,0.1003,0.1048,0.1866
17/12/2018,Dry,NMF,0.0015,NMF,0.0499,NMF,0.0632,0.0167,0.0574,0.117,0.0985,0.1906
26/02/2019,Dry,Dry,0.0021,0.0002,0.0441,NMF,0.0474,0.013,0.0497,0.1301,0.1231,0.1812
12/04/2019,Dry,0.0023,NMF,0.0018,0.0475,NMF,0.0469,0.0095,0.0467,0.1246,0.1027,0.1783
26/06/2019,Dry,0.0004,0.0064,0.0027,0.0447,0.0427,0.047,0.0292,0.0435,0.1146,0.1207,0.1754
05/08/2019,Dry,NMF,0.0014,NMF,0.0392,NMF,0.0438,0.0186,0.0384,0.121,0.1099,0.1947
07/10/2019,Dry,Dry,NMF,0.0006,0.0376,NMF,0.0376,0.013,0.0703,0.1319,0.1071,0.2177
28/11/2019,Dry,Dry,NMF,0.0054,0.0485,0.0013,0.0533,0.0208,0.0675,0.0978,0.1074,0.1728
06/02/2020,0.0338,0.136,0.2107,0.0085,0.2145,0.1305,0.1924,0.0278,0.201,0.1624,0.1657,0.4274
03/04/2020,0.0712,0.2786,0.3122,0.0107,0.3499,0.2599,0.2762,-,0.3006,0.1995,0.2316,0.6523
